BLOCK_NUMBER,TX_COUNT
10209000,5000
10208906,5000
10208963,5000
10208934,5000
10209100,5000
10209095,5000
9214016,5000
9191529,5000
9191456,5000
9191486,5000
9191403,5000
9191248,5000
9191332,5000
9191320,5000
9191366,5000
9191484,5000
9191282,5000
9198799,5000
9198528,5000
9198758,5000
9198524,5000
9198527,5000
9213998,5000
9213974,5000
9463426,5000
9473796,5000
9463366,5000
9473804,5000
9473761,5000
9473752,5000
9473764,5000
9473811,5000
9473757,5000
9473756,5000
9473760,5000
9473838,5000
9473799,5000
9473793,5000
9473766,5000
9473880,5000
9473751,5000
9463347,5000
9191337,5000
10208957,5000
10208959,5000
10208916,5000
10007522,5000
10007452,5000
9371412,5000
9371326,5000
9371336,5000
9372396,5000
9371332,5000
9371413,5000
9372386,5000
10007446,5000
10171784,5000
10007471,5000
10171640,5000
10171748,5000
10171686,5000
10171617,5000
10171665,5000
10171644,5000
10171736,5000
10249955,5000
9614323,5000
9606077,5000
9614320,5000
9522469,5000
9907143,5000
9214024,5000
9907224,5000
9907169,5000
9907142,5000
9907171,5000
9912677,5000
9907145,5000
9907164,5000
9907158,5000
9907231,5000
9907152,5000
9907170,5000
9907151,5000
9907140,5000
9925770,5000
9925517,5000
9907159,5000
9907076,5000
9214004,5000
9214021,5000
9667930,5000
9667731,5000
9667935,5000
9974739,5000
9975904,5000
9976021,5000
9320924,5000
9974748,5000
9320887,5000
9320940,5000
9320880,5000
9340798,5000
9340785,5000
9340727,5000
9347236,5000
9347231,5000
9340722,5000
9347191,5000
9340712,5000
9347243,5000
9340717,5000
9975781,5000
9975771,5000
9975808,5000
9700776,5000
9890172,5000
9890167,5000
9890210,5000
9919972,5000
9889702,5000
9907156,5000
9907161,5000
9907184,5000
9907179,5000
9907144,5000
9907187,5000
9907157,5000
9907168,5000
9907136,5000
9907186,5000
9907139,5000
9907154,5000
9907150,5000
9907162,5000
9907167,5000
9907138,5000
9907141,5000
9911917,5000
9890103,5000
9890166,5000
9890139,5000
10117427,5000
9388638,5000
9388693,5000
9937236,5000
9937237,5000
10134974,5000
9682904,5000
10134955,5000
9682905,5000
9744337,5000
9744490,5000
9744411,5000
9744500,5000
9744391,5000
9744769,5000
9774070,5000
9774311,5000
9774313,5000
9744450,5000
9744429,5000
9744396,5000
9629558,5000
9275409,5000
9853889,5000
9853901,5000
9853895,5000
9054423,5000
9054595,5000
9054615,5000
9054434,5000
9054564,5000
9054537,5000
9054636,5000
9054330,5000
9054610,5000
9054384,5000
9260694,5000
9260691,5000
9260627,5000
9260695,5000
9260651,5000
9262507,5000
9260685,5000
9260646,5000
9890138,5000
10077801,5000
9463374,5000
9191302,5000
10208966,5000
10209040,5000
10209063,5000
﻿
